documento,apellido,celular,direccion,email,nombre
1001,"RINCON ARROLLAVE",3127039033,"VIA LA.VIRGINIA- CAIMALITO PLAN CESAR TORO LA VIRG TALLER",uraeus@mac.com,"GENIER ANTONIO"
1002,GARCIA,3117207593,"CARACOLLA CURVA-CURVA.SA",bhima@me.com,"ALBA LUCIA"
1003,ARIAS,3225541376,"CR 17 BIS # 17 B- 26 PS 2",psichel@sbcglobal.net,JAIRO
1004,AYALA,3225541376,"CL 32 # 15- 98",tbeck@optonline.net,DORALINA
1005,MOSQUERA,3108515914,"MNZ 9 CAS 190 PIS 2 VILLA ELISA",eegsa@yahoo.ca,VICENTE
1006,HENAO,3175982109,"MNZ 11 CAS 9 VILLA ELISA",barlow@verizon.net,"JOSE JESUS"
1007,GARCIA,3174876005,"CRA 4 42 15 CAS 56",wkrebs@me.com,"JAIRO OSPINA"
1008,"ZULUAGA ZULUAGA",3103720814,"CRA 17 30 186",dleconte@outlook.com,"JAIRO DE JESUS"
1009,"CRUZ RODRIGUEZ",3176375849,"CLL 17 CR 6 LC 00- MONTALLANTAS",flakeg@verizon.net,ELENA
1010,"HERRAN ARANGO",3104387167,"CL 32 BIS # 15- 38 PS 1",slaff@icloud.com,"BLANCA INES"
